[Rank]
VinhÙSª	=1
EmÙ§ÑpÙQuyÒnÙEm	=981
ThËtÙLµÙvl	=982
BXÙHoaÙHångÙ	=983
zNHCzThæLOng	=984
HÕtÙHånÙCh­aÙAD	=985
§­êngÙT¨ng	=986
ThÇnÙ§éc	=987
BXÙHoaÙXanhÙ	=988
nhangia	=989
BXÙHoaÙVµngÙ	=990
zNHCzKimLong	=991
AnhÙHaiÙ5D	=992
NgaMiK48	=993
Ng¹cNhiªnCh­a	=994
72ÙTLBTK	=995
ChãÙcµy14	=996
48ÙKuÙBao	=997
ChãÙcµy13	=998
CaiBang48	=999
LeadÙ125	=1000
72ÙNMC	=1001
NguDocB48	=1002
ConLon48	=1003
VodangQ48	=1004
ÙÙÙ2ÙÙ	=1005
TuLaThæ	=1006
72ÙBUFFD	=1007
72ÙTND	=1008
Tr­¬ngÙV«ÙKş	=1009
